address,balance
0x7c2Aeef6D6a8b984ef0b741A661D2F0dF18DE9Fb,1046450.8680783162
0x69D6E04c49C71C90183f308d502c37bAC1691E20,1039823.5936643977
0xCBCFcd247194dEC6495B6e5A3e320413A4E2B8e8,1006451.5033464475
0x1f9Dc16127b61Cc7B78f4CF957beFD26C4aC6898,1000000.0
0x9F3cE0aD29b767D809642a53c2BCcC9A130659D7,989035.0280881425
0x711281C1b26AaEd86E40e4cAaf76c1962B45E161,946204.9070106092
0xB193164bf8F8564a3192F854bb2eA3eB3Acb2e34,919727.0865313443
0x16cbc08d399Bcd24C31B6CD6D0d41dd27351cc11,914043.4941891218
0x448AdCF235906d22cD03BACCDdDCFe089e099926,890729.5616951558
0xAe2E98a27e210595d6092fEdeb956b1A562f46cF,863756.2362217221
0x8381fFC2a572B88C4b2B69FfAd3d30C8cFD8cA8e,850181.528585036
0x2B06B99b35E2cc63d51CcB560f712C1dd9C96a82,848307.0954928556
0x1A6cf270Bb607943343190AB7b50b0e8a36D062f,848066.1876652016
0x45ac50474b42572779808945F6492e3BA04bB8e4,834856.5185110938
0x5bb08760AaEee7b6acE2dbe8ddd8C1F0685550E1,830729.0
0xD1B15bD0F23b38DA396125Aa9abcEA1A866912E9,829640.2397144893
0xdD6E31A046b828CbBAfb939C2a394629aff8BBdC,824307.184164587
0xF50B16Adfa055Cff52E6a38C5278B5b6EF818c58,822763.601444282
0x3aFec0804fCA53B24555Ac24830633aBD5f38615,811298.2513894504
0x5875b19A46deab321B355A6cD23cE96E8E50Fe19,807510.3271370934
0xA1610b2F52EEA361963bd1b78F3206b99431bff8,799882.9725623489
0x6CaB818DAaF4040476E2489A7ED29Ca685aD0623,794959.5035124533
0x41977Db3935EC1976f93731632472b02D956D603,791748.610793138
0xd99116c1D57d7ADaBE11a6Ab63953B06916B6726,790000.0010634017
0x0B8bc556573c333b5c7fb992B86a781a265dF49d,785772.3665509182
0x08c81699F9a357a9F0d04A09b353576ca328d60D,779954.742969674
0xcf3aF1169C093FEcF495eB5aDe78486d963B5050,772145.0574278935
0xa98040F59d6dB9a94C5cE78BCE7D6d4637E81cd8,769854.8848449304
0x9f0FBfe71d9B98B974FE21B86f9c259616fd6734,769462.8425770879
0xc5fc3f9864D91C4506435a826C0506e163D798E2,761267.3232078634
0x02a6465731d23CeDBeD11674ADC17C6b6FdE8Eed,760911.2622966119
0x2fBbb27DeAD81D292996b0e62b4C21Cc7908698A,759060.1866145481
0xbf4e2c970a0C24452a62796fd560480F3394fB28,751014.6078478436
0xF6B3dA7E39eDBc0a25e484D7B4Fd119Ef50EF393,746560.0315686644
0xB26077884394fEe1ef92ADE24a122C6ef8Cc7b5D,746288.0400668551
0x01904AdDc89DB5F02C7201734c8809e43f5e0764,731989.6398933713
0xfed0d3bece3A2Db3Bee70ff5d41126D1a36C2E9f,712999.5171306309
0x5bE801dF408a2b6000CeCE4862166FE67e4F7F74,712293.0134615856
0xCDDC65c39e79EAe6Aba12f2Cfc7b83D8D3f7188c,703877.9020877002
0x52081A6912CFa64968999FbeB31387446A49B207,700000.0
0xb2043C8A595503F7f784691b62b0f5808cE75a6e,697435.9221821837
0x279cf616969607b2633B8e71C8350cf476a70254,692591.0874433519
0xBb67945486d9298C3552641D43e48e48528b27a8,685810.0
0x5Ab280f3ED9CEB9b1F4370F1D570Ac1807b0a9C9,680886.3109020294
